prefecture_jp,city_jp,prefecture,city,population,prefecture_hira,city_hira
茨城県,土浦市,Ibaraki ,Tsuchiura,140804,いばらきけん,つちうらし
三重県,桑名市,Mie ,Kuwana,140303,みえけん,くわなし
静岡県,焼津市,Shizuoka ,Yaizu,139462,しずおかけん,やいづし
沖縄県,沖縄市,Okinawa ,Okinawa,139279,おきなわけん,おきなわし
広島県,尾道市,Hiroshima,Onomichi,138626,ひろしまけん,おのみちし
長崎県,諫早市,Nagasaki ,Isahaya,138078,ながさきけん,いさはやし
東京都,青梅市,Tokyo,Ome,139232,とうきょうと,おうめし
滋賀県,草津市,Shiga ,Kusatsu,137247,しがけん,くさつし
愛知県,稲沢市,Aichi,Inazawa,136867,あいちけん,いなざわし
山口県,岩国市,Yamaguchi ,Iwakuni-shi,136757,やまぐちけん,いわくにし
埼玉県,三郷市,Saitama,Misato,136521,さいたまけん,みさとし
埼玉県,朝霞市,Saitama,Asaka,136299,さいたまけん,あさかし
埼玉県,戸田市,Saitama,Toda-shi,136150,さいたまけん,とだし
千葉県,木更津市,Chiba ,Kisarazu,134141,ちばけん,きさらづし
大阪府,箕面市,Osaka ,Minoh-shi,133411,おおさかふ,みのおし
宮城県,大崎市,Miyagi ,Osaki,133391,みやぎけん,おおさきし
千葉県,我孫子市,Chiba ,Abiko,131606,ちばけん,あびこし
千葉県,成田市,Chiba ,Narita,131190,ちばけん,なりたし
静岡県,富士宮市,Shizuoka ,Fujinomiya,130770,しずおかけん,ふじのみやし
神奈川県,海老名市,Kanagawa ,Ebina,130190,かながわけん,えびなし
山形県,鶴岡市,Yamagata ,Tsuruoka,129652,やまがたけん,つるおかし
福岡県,飯塚市,Fukuoka ,Iizuka,129146,ふくおかけん,いいづかし
愛知県,瀬戸市,Aichi,Seto,129046,あいちけん,せとし
神奈川県,座間市,Kanagawa ,Zama,128737,かながわけん,ざまし
三重県,伊勢市,Mie ,Ise-shi,127817,みえけん,いせし
熊本県,八代市,Kumamoto ,Yatsushiro,127472,くまもとけん,やつしろし
鹿児島県,霧島市,Kagoshima ,Kirishima-shi,125857,かごしまけん,きりしまし
宮崎県,延岡市,Miyazaki,Nobeoka,125159,みやざきけん,のべおかし
奈良県,橿原市,Nara ,Kashihara,124111,ならけん,かしはらし
福島県,会津若松市,Fukushima ,Aizuwakamatsu,124062,ふくしまけん,あいづわかまつし
大阪府,門真市,Osaka ,Kadoma-shi,123576,おおさかふ,かどまし
大阪府,大東市,Osaka ,Daito,123217,おおさかふ,だいとうし
佐賀県,唐津市,Saga ,Karatsu,122785,さがけん,からつし
東京都,国分寺市,Tokyo,Kokubunji,122742,とうきょうと,こくぶんじし
大分県,別府市,Oita ,Beppu,122138,おおいたけん,べっぷし
北海道,小樽市,Hokkaido,Otaru,121924,ほっかいどう,おたるし
岩手県,一関市,Iwate ,Ichinoseki,121583,いわてけん,いちのせきし
東京都,小金井市,Tokyo,Koganei-shi,121396,とうきょうと,こがねいし
北海道,北見市,Hokkaido,Kitami,121226,ほっかいどう,きたみし
大阪府,松原市,Osaka ,Matsubara,120750,おおさかふ,まつばらし
北海道,江別市,Hokkaido,Ebetsu,120636,ほっかいどう,えべつし
愛媛県,新居浜市,Ehime ,Niihama-shi,119903,えひめけん,にいはまし
岩手県,奥州市,Iwate ,Oshu-shi,119422,いわてけん,おうしゅうし
栃木県,佐野市,Tochigi ,Sano,118919,とちぎけん,さのし
沖縄県,うるま市,Okinawa ,Uruma,118898,おきなわけん,うるまし
奈良県,生駒市,Nara ,Ikoma-shi,118233,ならけん,いこまし
滋賀県,長浜市,Shiga ,Nagahama,118193,しがけん,ながはまし
埼玉県,鴻巣市,Saitama,Konosu,118072,さいたまけん,こうのすし
福岡県,大牟田市,Fukuoka ,Omuta,117360,ふくおかけん,おおむたし
栃木県,那須塩原市,Tochigi ,Nasushiobara,117146,とちぎけん,なすしおばらし
愛知県,半田市,Aichi,Handa,116908,あいちけん,はんだし
東京都,東久留米市,Tokyo,Higashikurume,116632,とうきょうと,ひがしくるめし
山口県,防府市,Yamaguchi ,Hofu,115942,やまぐちけん,ほうふし
広島県,廿日市市,Hiroshima,Hatsukaichi,114906,ひろしまけん,はつかいちし
群馬県,桐生市,Gunma ,Kiryu,114714,ぐんまけん,きりゅうし
静岡県,掛川市,Shizuoka ,Kakegawa,114602,しずおかけん,かけがわし
